date,co,no2,o3,pm10,pm25,so2
2017-02-15,1377.0,46.1,39.95,154.0,78.2,27.1
2017-02-16,1390.5,46.0,40.95,142.0,74.35,24.6
2017-02-17,1660.5,48.6,47.55,178.0,89.6,15.2
2017-02-18,1570.0,50.9,38.9,162.0,86.85,30.2
2017-02-19,1440.0,48.8,43.0,157.0,96.66666666666667,21.5
2017-02-20,1750.0,45.6,42.45,151.0,112.96666666666665,50.5
2017-02-21,1645.0,44.3,57.099999999999994,172.0,86.73333333333333,28.0
2017-02-22,929.5,48.3,25.45,132.0,85.23333333333333,11.6
2017-02-23,1825.0,44.6,61.45,194.0,95.73333333333333,37.1
2017-02-24,1583.0,48.7,48.75,228.0,93.76666666666667,30.6
2017-02-25,1004.0,42.3,96.25,140.0,68.26666666666667,19.8
2017-02-26,1217.5,49.0,61.9,192.0,85.5,30.1
2017-02-27,1730.0,43.4,65.05,176.0,98.3,24.4
2017-02-28,1630.0,50.5,61.95,193.0,85.7,14.8
2017-03-01,1425.0,48.3,75.5,211.0,91.2,25.6
2017-03-02,1000.5,34.8,105.45,142.0,70.93333333333334,20.9
2017-03-03,1035.5,32.3,78.75,102.0,44.56666666666666,12.2
2017-03-04,995.5,30.6,67.69999999999999,108.0,42.199999999999996,13.4
2017-03-05,579.0,20.4,58.3,86.7,38.0,8.51
2017-03-06,647.0,27.0,55.75,106.0,42.5,8.72
2017-03-07,718.5,25.6,51.4,119.0,46.166666666666664,8.17
2017-03-08,656.5,20.7,83.6,96.1,50.300000000000004,11.9
2017-03-09,657.5,24.0,75.95,109.0,54.0,70.0
2017-03-10,537.0,15.9,63.3,93.8,32.86666666666667,9.12
2017-03-11,471.0,19.6,71.9,116.0,38.1,13.4
2017-03-12,722.0,30.7,90.95,152.0,66.66666666666667,18.9
2017-03-13,768.5,34.4,105.5,164.0,53.43333333333334,21.8
2017-03-14,597.5,24.0,57.4,116.0,33.53333333333333,13.0
2017-03-15,571.5,17.8,47.5,77.4,26.900000000000002,17.6
2017-03-16,555.0,17.3,84.1,65.3,36.766666666666666,9.2
2017-03-17,758.5,25.9,77.05,109.0,62.6,9.54
2017-03-18,1054.5,42.1,59.2,190.0,90.2,41.4
2017-03-19,1485.0,42.4,49.25,226.0,107.26666666666667,28.1
2017-03-20,803.0,36.5,59.6,157.0,62.56666666666666,24.8
2017-03-21,799.5,43.9,68.9,183.0,61.9,21.6
2017-03-22,1046.0,50.3,57.5,177.0,70.23333333333333,24.5
2017-03-23,1225.0,47.1,65.9,217.0,92.13333333333333,34.4
2017-03-24,785.5,27.8,54.55,137.0,65.76666666666667,18.4
2017-03-25,867.5,38.2,109.3,167.0,68.86666666666666,26.1
2017-03-26,950.0,39.8,80.25,187.0,80.39999999999999,32.6
2017-03-27,815.5,35.8,81.05,157.0,64.36666666666667,22.1
2017-03-28,950.0,40.9,71.05,155.0,62.4,24.5
2017-03-29,684.5,33.3,75.1,116.0,53.56666666666666,22.4
2017-03-30,774.5,39.0,91.85,150.0,54.73333333333333,23.4
2017-03-31,688.0,36.2,80.0,135.0,50.833333333333336,17.2
2017-04-01,742.5,32.0,91.3,121.0,48.666666666666664,19.6
2017-04-02,764.5,34.7,89.2,145.0,58.73333333333333,19.1
2017-04-03,714.5,34.4,88.15,138.0,57.23333333333333,19.6
2017-04-04,730.0,31.0,65.65,106.0,46.36666666666667,15.6
2017-04-05,718.0,30.0,60.75,104.0,61.53333333333333,14.5
2017-04-06,882.0,54.0,70.05,144.0,64.73333333333333,20.6
2017-04-07,1065.0,39.3,57.05,129.0,67.66666666666667,19.1
2017-04-08,1020.0,58.0,71.85,184.0,80.63333333333334,23.6
2017-04-09,936.0,44.7,83.25,158.0,72.60000000000001,19.0
2017-04-10,823.0,46.9,88.05000000000001,175.0,79.63333333333333,22.8
2017-04-11,822.5,53.9,104.6,179.0,68.96666666666667,29.5
2017-04-12,1655.0,78.4,12.53,235.0,115.0,65.9
2017-04-13,1138.0,65.2,104.4,185.0,74.53333333333333,29.7
2017-04-14,932.0,52.0,89.3,168.0,73.66666666666667,23.1
2017-04-15,1041.0,52.5,75.05,161.0,64.33333333333333,20.9
2017-04-16,1775.0,51.7,73.25,216.0,84.36666666666666,15.4
2017-04-17,1360.0,64.6,62.9,203.0,87.60000000000001,15.2
2017-04-18,1535.0,63.3,71.2,240.0,95.73333333333333,18.0
2017-04-19,787.0,29.3,77.2,151.0,63.03333333333333,9.42
2017-04-20,956.5,41.1,68.4,151.0,59.53333333333333,8.41
2017-04-21,987.5,53.4,72.7,182.0,70.13333333333333,20.2
2017-04-22,1104.0,44.5,70.1,175.0,66.43333333333334,19.1
2017-04-23,968.0,47.4,37.95,250.0,102.73333333333333,21.2
2017-04-24,915.0,42.2,73.05000000000001,162.0,57.0,22.4
2017-04-25,1140.0,41.1,62.4,172.0,72.45,16.7
2017-04-26,1970.0,71.3,46.0,183.0,71.1,22.5
2017-04-27,839.5,51.8,91.44999999999999,190.0,53.29999999999999,24.0
2017-04-28,673.5,23.0,101.15,112.0,35.13333333333333,15.6
2017-04-29,858.5,34.6,91.25,96.8,35.93333333333334,12.0
2017-04-30,558.5,32.4,91.5,83.1,31.75,14.2
2017-05-01,633.0,32.4,109.5,78.5,28.05,16.3
2017-05-02,628.5,33.3,89.5,81.6,38.53333333333333,16.9
2017-05-03,652.5,31.0,84.2,103.0,41.53333333333333,18.2
2017-05-04,727.5,37.9,107.0,133.0,52.199999999999996,19.3
2017-05-05,868.5,37.7,78.1,137.0,55.699999999999996,15.9
2017-05-06,845.0,35.7,78.0,130.0,55.5,20.5
2017-05-07,734.5,32.3,70.95,96.6,45.53333333333333,11.3
2017-05-08,647.0,24.2,87.65,95.8,43.43333333333334,12.2
2017-05-09,810.5,41.2,85.2,110.0,42.36666666666667,17.7
2017-05-10,891.0,16.3,79.85,60.6,38.96666666666667,17.4
2017-05-11,424.0,,63.7,,41.4,
2017-05-12,624.0,,50.7,,43.25,
2017-05-13,1269.0,72.1,55.900000000000006,137.0,50.63333333333333,46.6
2017-05-14,707.0,32.2,79.1,112.0,46.23333333333333,8.78
2017-05-15,514.0,15.9,77.9,76.5,38.800000000000004,10.1
2017-05-16,760.0,21.2,91.1,109.0,44.849999999999994,9.95
2017-05-17,1591.5,19.0,45.7,88.8,84.66666666666667,12.6
2017-05-18,1050.5,39.7,63.949999999999996,143.0,66.3,15.3
